,时间,小时,工作日,供冷季节,电耗
651,213,3,0,1,67.89999962
652,213,4,0,1,56.5
653,213,5,0,1,60.69999981
654,213,6,0,1,65.19999981
655,213,7,0,1,56.80000019
656,213,8,0,1,59.19999981
657,213,9,0,1,568.6899967
658,213,10,0,1,554.3099852
659,213,11,0,1,508.8999996
660,213,12,0,1,484.3999996
661,213,13,0,1,485.8999996
662,213,14,0,1,497.8000069
663,213,15,0,1,495.0900078
664,213,16,0,1,497.0200081
665,213,17,0,1,534.8899994
666,213,18,0,1,504.2000008
667,213,19,0,1,443.6000004
668,213,20,0,1,364.6000004
669,213,21,0,1,82.60000038
670,213,22,0,1,86.19999981
671,213,23,0,1,72.39999962
672,214,0,0,1,78.10000038
673,214,1,0,1,74.19999981
674,214,2,0,1,81.39999962
675,214,3,0,1,73.60000038
676,214,4,0,1,65.19999981
677,214,5,0,1,66.69999981
678,214,6,0,1,67
679,214,7,0,1,63.10000038
680,214,8,0,1,70
681,214,9,0,1,616.3799925
682,214,10,0,1,596.6000004
683,214,11,0,1,585.3200073
684,214,12,0,1,566.6900139
685,214,13,0,1,608.2999935
686,214,14,0,1,575.6000061
687,214,15,0,1,597.7099857
688,214,16,0,1,595.5
689,214,17,0,1,609.4799919
690,214,18,0,1,626.5099869
691,214,19,0,1,603.0099907
692,214,20,0,1,430.8899994
693,214,21,0,1,96.39999962
694,214,22,0,1,94
695,214,23,0,1,91.89999962
696,215,0,1,1,86.5
697,215,1,1,1,78.10000038
698,215,2,1,1,82.60000038
699,215,3,1,1,78.70000076
700,215,4,1,1,80.5
701,215,5,1,1,81.39999962
702,215,6,1,1,70.89999962
703,215,7,1,1,360.9999943
704,215,8,1,1,1044.089993
705,215,9,1,1,1094.620007
706,215,10,1,1,1305.099998
707,215,11,1,1,1314.390007
708,215,12,1,1,1340.009991
709,215,13,1,1,1258.989998
710,215,14,1,1,1226.799999
711,215,15,1,1,1274.800011
712,215,16,1,1,1246.790016
713,215,17,1,1,1248.400002
714,215,18,1,1,1107.5
715,215,19,1,1,773.8100033
716,215,20,1,1,626.6999893
717,215,21,1,1,439.989994
718,215,22,1,1,91.29999924
719,215,23,1,1,94
720,216,0,1,1,97.29999924
721,216,1,1,1,92.20000076
722,216,2,1,1,83.5
723,216,3,1,1,78.39999962
724,216,4,1,1,77.79999924
725,216,5,1,1,72.39999962
726,216,6,1,1,79.29999924
727,216,7,1,1,370.489996
728,216,8,1,1,917.1100044
729,216,9,1,1,1135.099987
730,216,10,1,1,1417.109985
731,216,11,1,1,1281.690014
732,216,12,1,1,1294.299995
733,216,13,1,1,1215.509991
734,216,14,1,1,1065.890007
735,216,15,1,1,1077.799988
736,216,16,1,1,1153.210003
737,216,17,1,1,1110.890015
738,216,18,1,1,961.1900101
739,216,19,1,1,717.5099869
740,216,20,1,1,440.5999985
741,216,21,1,1,200.0999985
742,216,22,1,1,103.5999985
743,216,23,1,1,103.9000015
744,217,0,1,1,93.70000076
745,217,1,1,1,94.29999924
746,217,2,1,1,88.29999924
747,217,3,1,1,94
748,217,4,1,1,91.60000038
749,217,5,1,1,84.39999962
750,217,6,1,1,88
751,217,7,1,1,310.3999996
752,217,8,1,1,1093.099995
753,217,9,1,1,1239.500008
754,217,10,1,1,1194.700005
755,217,11,1,1,1213.199993
756,217,12,1,1,1181.099995
757,217,13,1,1,1123.700012
758,217,14,1,1,1111.799995
